,RUL,unit number
0,112,1
1,98,2
2,69,3
3,82,4
4,91,5
5,93,6
6,91,7
7,95,8
8,111,9
9,96,10
10,97,11
11,124,12
12,95,13
13,107,14
14,83,15
15,84,16
16,50,17
17,28,18
18,87,19
19,16,20
20,57,21
21,111,22
22,113,23
23,20,24
24,145,25
25,119,26
26,66,27
27,97,28
28,90,29
29,115,30
30,8,31
31,48,32
32,106,33
33,7,34
34,11,35
35,19,36
36,21,37
37,50,38
38,142,39
39,28,40
40,18,41
41,10,42
42,59,43
43,109,44
44,114,45
45,47,46
46,135,47
47,92,48
48,21,49
49,79,50
50,114,51
51,29,52
52,26,53
53,97,54
54,137,55
55,15,56
56,103,57
57,37,58
58,114,59
59,100,60
60,21,61
61,54,62
62,72,63
63,28,64
64,128,65
65,14,66
66,77,67
67,8,68
68,121,69
69,94,70
70,118,71
71,50,72
72,131,73
73,126,74
74,113,75
75,10,76
76,34,77
77,107,78
78,63,79
79,90,80
80,8,81
81,9,82
82,137,83
83,58,84
84,118,85
85,89,86
86,116,87
87,115,88
88,136,89
89,28,90
90,38,91
91,20,92
92,85,93
93,55,94
94,128,95
95,137,96
96,82,97
97,59,98
98,117,99
99,20,100
